,wer,streaming_latency,confirmed_streaming_latency,model_timestamp_streaming_latency,model_timestamp_confirmed_streaming_latency,number_deletions,number_substitutions,number_insertions,wer_global,streaming_latency_global,confirmed_streaming_latency_global,model_timestamp_streaming_latency_global,model_timestamp_confirmed_streaming_latency_global,number_deletions_global,number_substitutions_global,number_insertions_global
0,0.0,0.36923718473442796,,,,1,1,1,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
1,0.0,0.19768198905896328,,,,1,3,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
2,0.0,0.3800068004080246,,,,0,1,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
3,0.09090909090909091,0.44904325212675245,,,,0,3,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
4,0.1,0.18997613390625354,,,,1,14,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
5,0.0,0.248631729244353,,,,1,1,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
6,0.0,0.26124903141303646,,,,1,2,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
7,0.16666666666666666,0.31840760166171683,,,,2,2,6,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
8,0.0,0.19159649452929972,,,,1,3,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
9,0.0,0.25700249120359636,,,,0,6,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
10,0.0,0.3458597330455253,,,,1,4,3,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
11,0.0,0.4268100569753202,,,,0,0,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
12,0.0,0.2949186002176524,,,,1,4,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
13,0.0,0.2327004826307468,,,,0,3,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
14,0.09090909090909091,0.29316643560091243,,,,1,2,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
15,0.0,0.31334500596393344,,,,1,3,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
16,0.0,0.1952104659963296,,,,1,6,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
17,0.0,0.2317628624373231,,,,1,1,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
18,0.125,0.18656688449964862,,,,3,4,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
19,0.16666666666666666,0.40667938810336374,,,,2,3,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
20,0.0,0.28813212968841584,,,,0,1,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
21,0.0,0.31305533700498345,,,,0,1,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
22,0.0,0.2925272243128825,,,,0,2,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
23,0.0,0.28426989003881004,,,,0,1,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
24,0.09090909090909091,0.322546917370625,,,,1,5,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
25,0.0,0.3411011337505872,,,,1,4,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
26,0.1,0.5680409338617782,,,,0,3,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
27,0.0,0.30431566097781654,,,,2,0,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
28,0.07142857142857142,0.3840924440847543,,,,1,3,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
29,0.0,0.3113998441110253,,,,0,3,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
30,0.0,0.36638381031640443,,,,2,7,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
31,0.2857142857142857,0.40486659325766433,,,,0,8,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
32,0.0,0.41427440924810155,,,,0,2,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
33,0.0,0.21868550221099198,,,,2,1,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
34,0.0,0.25244718856240034,,,,1,5,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
35,0.09090909090909091,0.9667986793804101,,,,2,5,0,0.039600153787004995,0.3115874382489375,,,,194.0,961.0,93.0
